"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
"NIFTY 500","22,220.30","22,271.85","21,661.60","22,180.65","21,848.15","-","-332.50","-1.50","4,09,82,36,380","99,676.55","24,573.40","19,519.85","2.69","4.70"
"SBILIFE","1,723.50","1,762.00","1,651.10","1,608.20","1,691.00","-","82.80","5.15","1,03,21,746","1,750.21","1,936.00","1,307.70","9.98","17.35"
"NAVINFLUOR","4,369.80","4,562.10","4,330.00","4,340.10","4,470.00","-","129.90","2.99","11,79,134","528.45","4,562.10","2,875.95","6.02","34.53"
"ATUL","6,235.00","6,574.00","6,105.00","6,232.50","6,405.00","-","172.50","2.77","5,89,449","377.30","8,180.00","4,752.00","11.11","9.19"
"MPHASIS","2,502.00","2,571.60","2,440.00","2,468.10","2,524.00","-","55.90","2.26","32,12,180","812.71","3,237.95","2,044.55","0.93","13.87"
"PERSISTENT","5,233.00","5,329.00","5,138.00","5,156.50","5,259.00","-","102.50","1.99","13,91,012","730.87","6,788.90","3,232.05","-4.41","53.73"
"NUVAMA","6,130.50","6,350.50","6,112.00","6,128.50","6,244.00","-","115.50","1.88","3,21,796","201.26","7,648.00","4,120.00","1.81","14.94"
"CANFINHOME","711.95","729.00","700.00","708.65","722.00","-","13.35","1.88","11,09,864","79.32","951.75","558.50","7.83","-2.98"
"POLYMED","2,528.00","2,565.00","2,426.30","2,508.20","2,553.00","-","44.80","1.79","1,29,208","32.06","3,357.80","1,532.00","15.08","60.01"
"COFORGE","7,310.00","7,514.00","7,181.50","7,251.00","7,375.00","-","124.00","1.71","10,04,402","739.59","10,026.80","4,287.25","-7.94","41.83"
"LALPATHLAB","2,837.00","2,979.00","2,723.30","2,788.20","2,827.00","-","38.80","1.39","11,81,118","340.04","3,653.95","2,201.20","18.93","24.91"
"CHOLAHLDNG","1,946.80","1,993.20","1,910.10","1,951.00","1,978.00","-","27.00","1.38","4,02,904","78.95","2,154.95","1,040.00","15.61","81.04"
"NAVA","472.05","499.40","462.85","469.55","476.00","-","6.45","1.37","31,04,530","149.70","673.90","227.75","-2.63","-3.85"
"JUBLINGREA","683.95","722.90","661.80","680.05","689.00","-","8.95","1.32","20,88,591","146.51","885.00","462.30","3.25","24.19"
"MFSL","1,242.20","1,281.30","1,242.00","1,247.70","1,263.80","-","16.10","1.29","17,75,323","223.82","1,306.45","864.00","13.31","24.43"
"GSPL","316.10","323.55","310.20","318.35","321.90","-","3.55","1.12","7,98,076","25.48","469.70","260.05","11.60","9.55"
"TECHM","1,455.40","1,473.90","1,375.00","1,445.20","1,460.00","-","14.80","1.02","82,11,667","1,183.38","1,807.70","1,172.80","3.23","22.83"
"TCS","3,420.00","3,477.80","3,405.00","3,401.60","3,434.00","-","32.40","0.95","27,42,991","944.14","4,592.25","3,056.05","-5.17","-10.49"
"3MINDIA","30,000.00","30,300.00","29,105.00","29,875.00","30,100.00","-","225.00","0.75","7,089","21.19","40,856.50","25,718.15","7.41","0.15"
"ALIVUS","1,033.60","1,040.50","996.50","1,033.60","1,040.50","-","6.90","0.67","1,00,923","10.35","1,335.10","743.85","3.18","-"
"INFY","1,475.50","1,501.70","1,463.50","1,471.40","1,480.00","-","8.60","0.58","83,29,979","1,236.55","2,006.45","1,307.00","-7.46","2.90"
"JSWINFRA","301.80","305.30","291.75","301.25","303.00","-","1.75","0.58","30,88,167","92.35","360.95","218.20","-3.94","20.36"
"JSWHL","26,000.00","26,800.00","24,670.00","25,965.00","26,100.00","-","135.00","0.52","3,294","8.36","27,740.00","6,015.00","-","-"
"KIMS","670.20","680.95","662.05","667.10","670.50","-","3.40","0.51","6,76,407","45.45","700.00","350.00","10.06","-66.61"
