"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
SBILIFE,"1,723.50","1,762.00","1,651.10","1,608.20","1,691.00",-,82.8,5.15,"1,03,21,746","1,750.21","1,936.00","1,307.70",9.98,17.35
TECHM,"1,455.40","1,473.90","1,375.00","1,445.20","1,460.00",-,14.8,1.02,"82,11,667","1,183.38","1,807.70","1,172.80",3.23,22.83
INFY,"1,475.50","1,501.70","1,463.50","1,471.40","1,480.00",-,8.6,0.58,"83,29,979","1,236.55","2,006.45","1,307.00",-7.46,2.9
CHENNPETRO,628.95,664.1,611.8,627.15,629,-,1.85,0.29,"52,48,704",335.45,"1,275.00",433.1,0.07,-41.37
DELHIVERY,300.7,307,297.55,300.7,301.2,-,0.5,0.17,"93,17,417",282.9,468.8,236.53,19.71,-33.61
INDUSINDBK,822,829,807.35,819.75,820,-,0.25,0.03,"1,17,24,192",962.02,"1,550.00",606,25.49,-45.03
ICICIBANK,"1,410.00","1,414.80","1,388.40","1,402.70","1,403.00",-,0.3,0.02,"1,17,05,093","1,639.78","1,436.00","1,051.05",5.16,26.13
RELIANCE,"1,303.50","1,325.20","1,288.10","1,301.60","1,301.00",-,-0.6,-0.05,"1,44,31,012","1,880.78","1,608.80","1,114.85",2.15,-55.46
REDINGTON,245,250.5,237.56,245.28,244.4,-,-0.88,-0.36,"62,84,851",153.74,263.89,158.61,3.04,9.77
IEX,194.79,201.35,189.46,190.84,190,-,-0.84,-0.44,"6,34,50,190","1,243.37",244.4,134.15,7.53,19.55
HDFCBANK,"1,924.80","1,933.00","1,891.80","1,916.80","1,908.00",-,-8.8,-0.46,"92,50,439","1,768.10","1,978.90","1,426.80",5.79,26.51
ITC,430.05,432.7,423.3,430.05,427.6,-,-2.45,-0.57,"2,29,44,377",977.41,528.5,390.15,5.02,-2.23
WIPRO,243.95,246.15,238.05,242.75,240.5,-,-2.25,-0.93,"1,66,20,430",401.23,324.6,208.5,-9.91,-47.74
MANAPPURAM,229,229.49,222.51,228.83,226.34,-,-2.49,-1.09,"71,06,833",160.27,247.6,138.35,-2.28,16.76
ONGC,249,250.68,244.4,249.37,246,-,-3.37,-1.35,"1,56,16,265",384.93,345,205,2.76,-12.63
MSUMI,56.31,56.41,54.67,56.25,55.4,-,-0.85,-1.51,"89,44,530",49.43,80,46.08,3.81,-20.81
NYKAA,193.01,194.8,188.12,194.37,191.18,-,-3.19,-1.64,"52,96,829",101.34,229.8,149.75,11.41,7.56
MAHABANK,51,51.25,49,50.54,49.65,-,-0.89,-1.76,"2,75,45,895",138.42,73.5,42,7.83,-23.36
COALINDIA,400.3,404,389.65,399.85,392.65,-,-7.2,-1.8,"73,37,588",289.39,543.55,349.25,-0.42,-13.11
VEDL,422.85,425.8,409.5,420.25,412.3,-,-7.95,-1.89,"1,12,05,671",465.86,526.95,363,-10.96,8.46
SBIN,815,819,787,813.4,797.4,-,-16,-1.97,"1,31,31,038","1,049.76",912,680,4.54,-1.73
UCOBANK,31.1,31.1,29.78,31,30.35,-,-0.65,-2.1,"1,52,85,336",46.24,62.35,26.81,-15.37,-46.39
TATASTEEL,142,143.45,138.02,141.52,138.54,-,-2.98,-2.11,"3,77,64,696",528.55,184.6,122.62,-10.89,-17.2
MOTHERSON,135.57,136.61,132.03,136.19,133.32,-,-2.87,-2.11,"2,54,85,740",340.74,216.99,107.25,-0.9,5.12
TATAMOTORS,668.35,673,651.5,668.35,654.15,-,-14.2,-2.12,"1,32,07,043",870.03,"1,179.00",535.75,-7.48,-34.56
NTPC,363.2,365.8,351.1,363.2,355.5,-,-7.7,-2.12,"97,85,640",348.81,448.45,292.8,0.51,-0.77
BPCL,302.35,304.95,293.3,302,295.25,-,-6.75,-2.24,"77,73,037",230.55,376,234.01,8.31,-50.99
SBFC,107.5,109.9,104.28,107.41,105,-,-2.41,-2.24,"58,52,594",62.32,109.9,77.05,19.98,16.78
TATAPOWER,394.5,402.5,382.15,395.85,386.8,-,-9.05,-2.29,"1,42,33,760",557.39,494.85,326.35,3.09,-10.16
INDUSTOWER,406.5,406.9,390.3,406.5,397,-,-9.5,-2.34,"67,32,062",266.97,460.35,292,17.13,13
BANKBARODA,251.55,253.76,245.01,252.01,246.1,-,-5.91,-2.35,"1,28,40,481",317.74,299.7,190.7,12,-8.14
VBL,534.1,537.6,516.1,532.35,519.8,-,-12.55,-2.36,"84,22,092",441.13,681.12,419.55,-1.13,-63.8
ASHOKLEY,230.69,233,223.24,230.62,225.12,-,-5.5,-2.38,"69,84,672",158.31,264.65,174.4,4.68,26.64
IDFCFIRSTB,67.7,68,65.7,67.65,65.99,-,-1.66,-2.45,"4,75,89,266",316.18,86.1,52.46,15.93,-20.77
JIOFIN,258.78,261.62,249.1,258.78,252.39,-,-6.39,-2.47,"3,33,48,716",847.22,391.5,198.65,13.64,-33.81
SJVN,99.46,99.8,93.52,98.77,96,-,-2.77,-2.8,"1,16,24,755",111.49,159.65,80.54,5.58,-27.31
IOC,138.4,139.5,132.82,138.39,134.5,-,-3.89,-2.81,"1,46,63,542",197.84,185.97,110.72,4.31,-20.89
BANKINDIA,118.57,118.57,113.7,118.57,115.24,-,-3.33,-2.81,"1,02,50,155",118.69,157.95,90.05,9.37,-23.32
BEL,306.8,307.8,293.7,305.7,297,-,-8.7,-2.85,"2,03,07,004",606.31,340.5,221,-0.65,25.25
CDSL,"1,370.00","1,378.90","1,291.40","1,367.40","1,328.10",-,-39.3,-2.87,"99,92,155","1,322.51","1,989.80",917.63,12.67,-38.13
POWERGRID,313,315.4,303.4,314.4,305.3,-,-9.1,-2.89,"1,14,75,773",352.7,366.25,247.3,5.38,4.5
FEDERALBNK,201.8,202.87,195,201.9,196.06,-,-5.84,-2.89,"79,77,095",157.67,217,148,2.17,26
SAGILITY,42.45,42.49,40.43,42.23,40.99,-,-1.24,-2.94,"59,13,265",24.25,56.4,27.02,-2.43,-
RVNL,372.5,373,354.9,371.15,359.9,-,-11.25,-3.03,"68,57,970",247.93,647,249.85,-0.28,25.79
SAIL,118.6,120.35,113.39,118.03,114.44,-,-3.59,-3.04,"2,46,05,025",285.74,175.35,99.15,1.34,-30.4
BANDHANBNK,170.73,171.76,163.52,170.73,165.5,-,-5.23,-3.06,"78,61,418",131.4,222.31,128.16,11.37,-10.37
UNIONBANK,128.52,129.45,122.78,128.52,124.51,-,-4.01,-3.12,"1,34,96,266",169.26,172.5,100.81,3.93,-16.71
CANBK,99.4,99.71,96.02,99.39,96.26,-,-3.13,-3.15,"4,14,13,435",402.75,128.9,78.6,10.65,-84.35
CENTRALBK,38.29,38.29,36.5,38.08,36.84,-,-1.24,-3.26,"1,59,98,633",59.32,73,33.16,-14.44,-43.92
JPPOWER,15.69,15.74,14.78,15.58,15.06,-,-0.52,-3.34,"3,92,14,805",59.1,23.77,12.36,6.81,-
IOB,38.74,38.79,37.07,38.65,37.36,-,-1.29,-3.34,"93,59,128",35.24,75.55,33.5,-12.04,-44.11
AXISBANK,"1,177.00","1,179.90","1,146.00","1,207.10","1,165.30",-,-41.8,-3.46,"1,72,43,807","2,004.37","1,339.65",933.5,6.39,3.49
LAURUSLABS,630,643.35,606.5,645.5,623.1,-,-22.4,-3.47,"70,85,561",444.38,660.9,385.45,1.76,46.9
VMM,110.9,111.19,105.3,110.61,106.7,-,-3.91,-3.53,"96,16,803",103.03,126.87,95.99,5.3,-
GAIL,193,194.67,184.88,193.24,186.4,-,-6.84,-3.54,"97,91,154",183.95,246.3,150.52,7.28,-10.22
IRB,48.52,48.79,46.11,48.48,46.76,-,-1.72,-3.55,"1,93,21,686",91.28,78.15,40.96,3.74,-30.81
YESBANK,18.45,18.54,17.62,18.43,17.77,-,-0.66,-3.58,"10,93,27,218",195.91,28.55,16.02,4.78,-31.52
